ORIGINAL_CODE,PLAIN_CODE,NUM_DIGITS,REAL_CODE,NAME
03000000-1,03000000,2,03,"Agricultural, farming, fishing, forestry and related products"
03100000-2,03100000,3,031,Agricultural and horticultural products
03110000-5,03110000,4,0311,"Crops, products of market gardening and horticulture"
03111000-2,03111000,5,03111,Seeds
03111100-3,03111100,6,031111,Soya beans
03111200-4,03111200,6,031112,Peanuts
03111300-5,03111300,6,031113,Sunflower seeds
03111400-6,03111400,6,031114,Cotton seeds
03111500-7,03111500,6,031115,Sesame seeds
03111600-8,03111600,6,031116,Mustard seeds
03111700-9,03111700,6,031117,Vegetable seeds
03111800-0,03111800,6,031118,Fruit seeds
03111900-1,03111900,6,031119,Flower seeds
03112000-9,03112000,5,03112,Unmanufactured tobacco
03113000-6,03113000,5,03113,Plants used for sugar manufacturing
03113100-7,03113100,6,031131,Sugar beet
03113200-8,03113200,6,031132,Sugar cane
03114000-3,03114000,5,03114,Straw and forage
03114100-4,03114100,6,031141,Straw
03114200-5,03114200,6,031142,Forage
03115000-0,03115000,5,03115,Raw vegetable materials
03115100-1,03115100,6,031151,Raw vegetable materials used in textile production
03115110-4,03115110,7,0311511,Cotton
03115120-7,03115120,7,0311512,Jute
03115130-0,03115130,7,0311513,Flax
03116000-7,03116000,5,03116,"Natural rubber and latex, and associated products"
03116100-8,03116100,6,031161,Natural rubber
03116200-9,03116200,6,031162,Natural latex
03116300-0,03116300,6,031163,Latex products
03117000-4,03117000,5,03117,Plants used in specific fields
03117100-5,03117100,6,031171,"Plants used in perfumery or pharmacy, or for insecticidal or similar purposes"
03117110-8,03117110,7,0311711,Plants used in perfumery
03117120-1,03117120,7,0311712,Plants used in pharmacy
03117130-4,03117130,7,0311713,Plants used for insecticidal purposes
03117140-7,03117140,7,0311714,Plants used for fungicidal or similar purposes
03117200-6,03117200,6,031172,Seeds of plants used in specific fields
03120000-8,03120000,4,0312,Horticultural and nursery products
03121000-5,03121000,5,03121,Horticultural products
03121100-6,03121100,6,031211,"Live plants, bulbs, roots, cuttings and slips"
03121200-7,03121200,6,031212,Cut flowers
03121210-0,03121210,7,0312121,Floral arrangements
03130000-1,03130000,4,0313,Beverage and spice crops
03131000-8,03131000,5,03131,Beverage crops
03131100-9,03131100,6,031311,Coffee beans
03131200-0,03131200,6,031312,Tea bushes
03131300-1,03131300,6,031313,Mat�
03131400-2,03131400,6,031314,Cocoa beans
03132000-5,03132000,5,03132,Unprocessed spices
03140000-4,03140000,4,0314,Animal products and related products
03141000-1,03141000,5,03141,Bulls' semen
03142000-8,03142000,5,03142,Animal products
03142100-9,03142100,6,031421,Natural honey
03142200-0,03142200,6,031422,Snails
03142300-1,03142300,6,031423,Edible products of animal origin
03142400-2,03142400,6,031424,Waxes
03142500-3,03142500,6,031425,Eggs
03143000-5,03143000,5,03143,Products of mixed farming
03144000-2,03144000,5,03144,Agricultural supplies
03200000-3,03200000,3,032,"Cereals, potatoes, vegetables, fruits and nuts"
03210000-6,03210000,4,0321,Cereals and potatoes
03211000-3,03211000,5,03211,Cereals
03211100-4,03211100,6,032111,Wheat
03211110-7,03211110,7,0321111,Durum wheat
03211120-0,03211120,7,0321112,Soft wheat
03211200-5,03211200,6,032112,Maize
03211300-6,03211300,6,032113,Rice
03211400-7,03211400,6,032114,Barley
03211500-8,03211500,6,032115,Rye
03211600-9,03211600,6,032116,Oats
03211700-0,03211700,6,032117,Malt
03211900-2,03211900,6,032119,Grain products
03212000-0,03212000,5,03212,Potatoes and dried vegetables
03212100-1,03212100,6,032121,Potatoes
03212200-2,03212200,6,032122,Dried leguminous vegetables and pulses
03212210-5,03212210,7,0321221,Dried leguminous vegetables
03212211-2,03212211,8,03212211,Lentils
03212212-9,03212212,8,03212212,Chick peas
03212213-6,03212213,8,03212213,Dried peas
03212220-8,03212220,7,0321222,Pulses
03220000-9,03220000,4,0322,"Vegetables, fruits and nuts"
03221000-6,03221000,5,03221,Vegetables
03221100-7,03221100,6,032211,Root and tuber vegetables
03221110-0,03221110,7,0322111,Root vegetables
03221111-7,03221111,8,03221111,Beetroot
03221112-4,03221112,8,03221112,Carrots
03221113-1,03221113,8,03221113,Onions
03221114-8,03221114,8,03221114,Turnips
03221120-3,03221120,7,0322112,Tuber vegetables
03221200-8,03221200,6,032212,Fruit vegetables
03221210-1,03221210,7,0322121,Beans
03221211-8,03221211,8,03221211,Broad beans
03221212-5,03221212,8,03221212,Green beans
03221213-2,03221213,8,03221213,Runner beans
03221220-4,03221220,7,0322122,Peas
03221221-1,03221221,8,03221221,Garden peas
03221222-8,03221222,8,03221222,Mange-tout
03221230-7,03221230,7,0322123,Peppers
03221240-0,03221240,7,0322124,Tomatoes
03221250-3,03221250,7,0322125,Courgettes
03221260-6,03221260,7,0322126,Mushrooms
03221270-9,03221270,7,0322127,Cucumbers
03221300-9,03221300,6,032213,Leaf vegetables
03221310-2,03221310,7,0322131,Lettuce
03221320-5,03221320,7,0322132,Salad leaves
03221330-8,03221330,7,0322133,Artichokes
03221340-1,03221340,7,0322134,Spinach
03221400-0,03221400,6,032214,Cabbage vegetables
03221410-3,03221410,7,0322141,Cabbage
03221420-6,03221420,7,0322142,Cauliflower
03221430-9,03221430,7,0322143,Broccoli
03221440-2,03221440,7,0322144,Brussels sprouts
03222000-3,03222000,5,03222,Fruit and nuts
03222100-4,03222100,6,032221,Tropical fruit and nuts
03222110-7,03222110,7,0322211,Tropical fruit
03222111-4,03222111,8,03222111,Bananas
03222112-1,03222112,8,03222112,Pineapples
03222113-8,03222113,8,03222113,Mangoes
03222114-5,03222114,8,03222114,Dates
03222115-2,03222115,8,03222115,Raisins
03222116-9,03222116,8,03222116,Figs
03222117-6,03222117,8,03222117,Avocados
03222118-3,03222118,8,03222118,Kiwi fruit
03222120-0,03222120,7,0322212,Coconuts
03222200-5,03222200,6,032222,Citrus fruit
03222210-8,03222210,7,0322221,Lemons
03222220-1,03222220,7,0322222,Oranges
03222230-4,03222230,7,0322223,Grapefruit
03222240-7,03222240,7,0322224,Tangerines
03222250-0,03222250,7,0322225,Limes
03222300-6,03222300,6,032223,Non-tropical fruit
03222310-9,03222310,7,0322231,Berry fruit
03222311-6,03222311,8,03222311,Currants
03222312-3,03222312,8,03222312,Gooseberries
03222313-0,03222313,8,03222313,Strawberries
03222314-7,03222314,8,03222314,Raspberries
03222315-4,03222315,8,03222315,Cranberries
03222320-2,03222320,7,0322232,"Apples, pears and quinces"
03222321-9,03222321,8,03222321,Apples
03222322-6,03222322,8,03222322,Pears
03222323-3,03222323,8,03222323,Quinces
03222330-5,03222330,7,0322233,Stone fruit
03222331-2,03222331,8,03222331,Apricots
03222332-9,03222332,8,03222332,Peaches
03222333-6,03222333,8,03222333,Cherries
03222334-3,03222334,8,03222334,Plums
03222340-8,03222340,7,0322234,Grapes
03222341-5,03222341,8,03222341,Table grapes
03222342-2,03222342,8,03222342,Wine grapes
03222400-7,03222400,6,032224,Olives
03300000-2,03300000,3,033,"Farming, hunting and fishing products"
03310000-5,03310000,4,0331,"Fish, crustaceans and aquatic products"
03311000-2,03311000,5,03311,Fish
03311100-3,03311100,6,033111,Flat fish
03311110-6,03311110,7,0331111,Sole
03311120-9,03311120,7,0331112,Plaice
03311200-4,03311200,6,033112,Fish of the cod family
03311210-7,03311210,7,0331121,Cod
03311220-0,03311220,7,0331122,Pollock
03311230-3,03311230,7,0331123,Hake
03311240-6,03311240,7,0331124,Haddock
03311300-5,03311300,6,033113,Herring
03311400-6,03311400,6,033114,Tuna
03311500-7,03311500,6,033115,Whiting
03311600-8,03311600,6,033116,Whitebait
03311700-9,03311700,6,033117,Salmon
03312000-9,03312000,5,03312,Crustaceans
03312100-0,03312100,6,033121,Oysters
03312200-1,03312200,6,033122,Shellfish
03312300-2,03312300,6,033123,Aquatic invertebrates
03313000-6,03313000,5,03313,Aquatic products
03313100-7,03313100,6,033131,Corals or similar products
03313200-8,03313200,6,033132,Natural sponges
03313300-9,03313300,6,033133,Seaweeds
03313310-2,03313310,7,0331331,Algae
03320000-8,03320000,4,0332,"Cattle, livestock and small animals"
03321000-5,03321000,5,03321,Cattle
03321100-6,03321100,6,033211,Bovine cattle
03321200-7,03321200,6,033212,Calves
03322000-2,03322000,5,03322,Livestock
03322100-3,03322100,6,033221,Sheep
03322200-4,03322200,6,033222,Goats
03322300-5,03322300,6,033223,Horses
03323000-9,03323000,5,03323,Pigs
03324000-6,03324000,5,03324,Live poultry
03325000-3,03325000,5,03325,Small animals
03325100-4,03325100,6,033251,Rabbits
03325200-5,03325200,6,033252,Hares
03330000-3,03330000,4,0333,Farm animal products
03331000-0,03331000,5,03331,Fresh milk from sheep and goats
03331100-1,03331100,6,033311,Sheep's milk
03331200-2,03331200,6,033312,Goats' milk
03332000-7,03332000,5,03332,Wool and animal hair
03332100-8,03332100,6,033321,Shorn wool
03332200-9,03332200,6,033322,Animal hair
03333000-4,03333000,5,03333,Fresh cows' milk
03340000-6,03340000,4,0334,Animal ear tags
03341000-3,03341000,5,03341,Bovine ear tags
03400000-4,03400000,3,034,Forestry and logging products
03410000-7,03410000,4,0341,Wood
03411000-4,03411000,5,03411,Coniferous wood
03412000-1,03412000,5,03412,Tropical wood
03413000-8,03413000,5,03413,Fuel wood
03414000-5,03414000,5,03414,Rough wood
03415000-2,03415000,5,03415,Softwood
03416000-9,03416000,5,03416,Wood waste
03417000-6,03417000,5,03417,Scrap wood
03417100-7,03417100,6,034171,Sawdust
03418000-3,03418000,5,03418,Logs
03418100-4,03418100,6,034181,Hardwood
03419000-0,03419000,5,03419,Timber
03419100-1,03419100,6,034191,Timber products
03419200-2,03419200,6,034192,Mining timber
03420000-0,03420000,4,0342,Gums
03421000-7,03421000,5,03421,Balsams
03422000-4,03422000,5,03422,Lac
03430000-3,03430000,4,0343,Cork
03431000-0,03431000,5,03431,Natural cork
03432000-7,03432000,5,03432,Basketware
03432100-8,03432100,6,034321,Wickerwork
03440000-6,03440000,4,0344,Forestry products
03441000-3,03441000,5,03441,"Ornamental plants, grasses, mosses or lichens"
03450000-9,03450000,4,0345,Tree-nursery products
03451000-6,03451000,5,03451,Plants
03451100-7,03451100,6,034511,Bedding plants
03451200-8,03451200,6,034512,Flower bulbs
03451300-9,03451300,6,034513,Shrubs
03452000-3,03452000,5,03452,Trees
03460000-2,03460000,4,0346,Pulp
03461000-9,03461000,5,03461,Wood pulp
03461100-0,03461100,6,034611,Chemical wood pulp
09000000-3,09000000,2,09,"Petroleum products, fuel, electricity and other sources of energy"
09100000-0,09100000,3,091,Fuels
09110000-3,09110000,4,0911,Solid fuels
09111000-0,09111000,5,09111,Coal and coal-based fuels
09111100-1,09111100,6,091111,Coal
09111200-2,09111200,6,091112,Coal-based fuels
09111210-5,09111210,7,0911121,Hard coal
09111220-8,09111220,7,0911122,Briquettes
09111300-3,09111300,6,091113,Fossil fuels
09111400-4,09111400,6,091114,Wood fuels
09112000-7,09112000,5,09112,Lignite and peat
09112100-8,09112100,6,091121,Lignite
09112200-9,09112200,6,091122,Peat
09113000-4,09113000,5,09113,Coke
09120000-6,09120000,4,0912,Gaseous fuels
09121000-3,09121000,5,09121,"Coal gas, mains gas or similar gases"
09121100-4,09121100,6,091211,Coal gas or similar gases
09121200-5,09121200,6,091212,Mains gas
09122000-0,09122000,5,09122,Propane and butane
09122100-1,09122100,6,091221,Propane gas
09122110-4,09122110,7,0912211,Liquefied propane gas
09122200-2,09122200,6,091222,Butane gas
09122210-5,09122210,7,0912221,Liquefied butane gas
09123000-7,09123000,5,09123,Natural gas
09130000-9,09130000,4,0913,Petroleum and distillates
09131000-6,09131000,5,09131,Aviation kerosene
09131100-7,09131100,6,091311,Kerosene jet type fuels
09132000-3,09132000,5,09132,Petrol
09132100-4,09132100,6,091321,Unleaded petrol
09132200-5,09132200,6,091322,Leaded petrol
09132300-6,09132300,6,091323,Petrol with ethanol
09133000-0,09133000,5,09133,Liquefied Petroleum Gas (LPG)
09134000-7,09134000,5,09134,Gas oils
09134100-8,09134100,6,091341,Diesel oil
09134200-9,09134200,6,091342,Diesel fuel
09134210-2,09134210,7,0913421,"Diesel fuel (0,2)"
09134220-5,09134220,7,0913422,Diesel fuel (EN 590)
09134230-8,09134230,7,0913423,Biodiesel
09134231-5,09134231,8,09134231,Biodiesel (B20)
09134232-2,09134232,8,09134232,Biodiesel (B100)
09135000-4,09135000,5,09135,Fuel oils
09135100-5,09135100,6,091351,Heating oil
09135110-8,09135110,7,0913511,Low-sulphur combustible oils
09200000-1,09200000,3,092,"Petroleum, coal and oil products"
09210000-4,09210000,4,0921,Lubricating preparations
09211000-1,09211000,5,09211,Lubricating oils and lubricating agents
09211100-2,09211100,6,092111,Motor oils
09211200-3,09211200,6,092112,Compressor lube oils
09211300-4,09211300,6,092113,Turbine lube oils
09211400-5,09211400,6,092114,Gear oils
09211500-6,09211500,6,092115,Reductor oils
09211600-7,09211600,6,092116,Oils for use in hydraulic systems and other purposes
09211610-0,09211610,7,0921161,Liquids for hydraulic purposes
09211620-3,09211620,7,0921162,Mould release oils
09211630-6,09211630,7,0921163,Anti-corrosion oils
09211640-9,09211640,7,0921164,Electrical insulating oils
09211650-2,09211650,7,0921165,Brake fluids
09211700-8,09211700,6,092117,White oils and liquid paraffin
09211710-1,09211710,7,0921171,White oils
09211720-4,09211720,7,0921172,Liquid paraffin
09211800-9,09211800,6,092118,Petroleum oils and preparations
09211810-2,09211810,7,0921181,Light oils
09211820-5,09211820,7,0921182,Petroleum oils
09211900-0,09211900,6,092119,Lubricating traction oils
09220000-7,09220000,4,0922,"Petroleum jelly, waxes and special spirits"
09221000-4,09221000,5,09221,Petroleum jelly and waxes
09221100-5,09221100,6,092211,Petroleum jelly
09221200-6,09221200,6,092212,Paraffin wax
09221300-7,09221300,6,092213,Petroleum wax
09221400-8,09221400,6,092214,Petroleum residues
09222000-1,09222000,5,09222,Special spirits
09222100-2,09222100,6,092221,White spirit
09230000-0,09230000,4,0923,Petroleum (crude)
09240000-3,09240000,4,0924,Oil and coal-related products
09241000-0,09241000,5,09241,Bituminous or oil shale
09242000-7,09242000,5,09242,Coal-related products
09242100-8,09242100,6,092421,Coal oil
09300000-2,09300000,3,093,"Electricity, heating, solar and nuclear energy"
09310000-5,09310000,4,0931,Electricity
09320000-8,09320000,4,0932,"Steam, hot water and associated products"
09321000-5,09321000,5,09321,Hot water
09322000-2,09322000,5,09322,Steam
09323000-9,09323000,5,09323,District heating
09324000-6,09324000,5,09324,Long-distance heating
09330000-1,09330000,4,0933,Solar energy
09331000-8,09331000,5,09331,Solar panels
09331100-9,09331100,6,093311,Solar collectors for heat production
09331200-0,09331200,6,093312,Solar photovoltaic modules
09332000-5,09332000,5,09332,Solar installation
09340000-4,09340000,4,0934,Nuclear fuels
09341000-1,09341000,5,09341,Uranium
09342000-8,09342000,5,09342,Plutonium
09343000-5,09343000,5,09343,Radioactive materials
09344000-2,09344000,5,09344,Radio-isotopes
14000000-1,14000000,2,14,"Mining, basic metals and related products"
14200000-3,14200000,3,142,Sand and clay
14210000-6,14210000,4,1421,"Gravel, sand, crushed stone and aggregates"
14211000-3,14211000,5,14211,Sand
14211100-4,14211100,6,142111,Natural sand
14212000-0,14212000,5,14212,"Granules, chippings, stone powder, pebbles, gravel, broken and crushed stone, stone mixtures, sand-gravel mixtures and other aggregates"
14212100-1,14212100,6,142121,Pebbles and gravel
14212110-4,14212110,7,1421211,Pebbles
14212120-7,14212120,7,1421212,Gravel
14212200-2,14212200,6,142122,Aggregates
14212210-5,14212210,7,1421221,Sand-gravel mix
14212300-3,14212300,6,142123,Broken and crushed stone
14212310-6,14212310,7,1421231,Ballast
14212320-9,14212320,7,1421232,Crushed granite
14212330-2,14212330,7,1421233,Crushed basalt
14212400-4,14212400,6,142124,Soil
14212410-7,14212410,7,1421241,Topsoil
14212420-0,14212420,7,1421242,Subsoil
14212430-3,14212430,7,1421243,Stone chippings
14213000-7,14213000,5,14213,"Macadam, tarmac and tar sands"
14213100-8,14213100,6,142131,Macadam
14213200-9,14213200,6,142132,Tarmac
14213300-0,14213300,6,142133,Tar sands
14220000-9,14220000,4,1422,Clay and kaolin
14221000-6,14221000,5,14221,Clay
14222000-3,14222000,5,14222,Kaolin
14300000-4,14300000,3,143,Chemical and fertiliser minerals
14310000-7,14310000,4,1431,Fertiliser minerals
14311000-4,14311000,5,14311,"Natural calcium, aluminium calcium phosphate and crude natural potassium salts"
14311100-5,14311100,6,143111,Natural calcium
14311200-6,14311200,6,143112,Aluminium calcium phosphates
14311300-7,14311300,6,143113,Crude natural potassium salts
14312000-1,14312000,5,14312,Iron pyrites
14312100-2,14312100,6,143121,Unroasted iron pyrites
14320000-0,14320000,4,1432,Chemical minerals
14400000-5,14400000,3,144,Salt and pure sodium chloride
14410000-8,14410000,4,1441,Rock salt
14420000-1,14420000,4,1442,Sea salt
14430000-4,14430000,4,1443,Evaporated salt and pure sodium chloride
14450000-0,14450000,4,1445,Salt in brine
14500000-6,14500000,3,145,Related mining and quarrying products
14520000-2,14520000,4,1452,"Precious and semi-precious stones, pumice stone, emery, natural abrasives, other minerals and precious metals"
14521000-9,14521000,5,14521,Precious and semi-precious stones
14521100-0,14521100,6,145211,Precious stones
14521140-2,14521140,7,1452114,Dust or powder of precious stones
14521200-1,14521200,6,145212,Semi-precious stones
14521210-4,14521210,7,1452121,Dust or powder of semi-precious stones
14522000-6,14522000,5,14522,"Industrial diamonds, pumice stone, emery and other natural abrasives"
14522100-7,14522100,6,145221,Pumice stone
14522200-8,14522200,6,145222,Industrial diamonds
14522300-9,14522300,6,145223,Emery
14522400-0,14522400,6,145224,Natural abrasives
14523000-3,14523000,5,14523,"Related minerals, precious metals and associated products"
14523100-4,14523100,6,145231,Minerals
14523200-5,14523200,6,145232,Gold
14523300-6,14523300,6,145233,Silver
14523400-7,14523400,6,145234,Platinum
14600000-7,14600000,3,146,Metal ores and alloys
14610000-0,14610000,4,1461,Metal ores
14611000-7,14611000,5,14611,Iron ores
14612000-4,14612000,5,14612,Non-ferrous metal ores
14612100-5,14612100,6,146121,Copper ores
14612200-6,14612200,6,146122,Nickel ores
14612300-7,14612300,6,146123,Aluminium ores
14612400-8,14612400,6,146124,Precious-metal ores
14612500-9,14612500,6,146125,Lead ores
14612600-0,14612600,6,146126,Zinc ores
14612700-1,14612700,6,146127,Tin ores
14613000-1,14613000,5,14613,Uranium and thorium ores
14613100-2,14613100,6,146131,Uranium ores
14613200-3,14613200,6,146132,Thorium ores
14614000-8,14614000,5,14614,Miscellaneous ores
14620000-3,14620000,4,1462,Alloys
14621000-0,14621000,5,14621,Ferro-alloys
14621100-1,14621100,6,146211,Non-ECSC ferro-alloys
14621110-4,14621110,7,1462111,Ferro-manganese
14621120-7,14621120,7,1462112,Ferro-chromium
14621130-0,14621130,7,1462113,Ferro-nickel
14622000-7,14622000,5,14622,Steel
14630000-6,14630000,4,1463,"Slag, dross, ferrous waste and scrap"
14700000-8,14700000,3,147,Basic metals
14710000-1,14710000,4,1471,"Iron, lead, zinc, tin and copper"
14711000-8,14711000,5,14711,Iron
14711100-9,14711100,6,147111,Pig iron
14712000-5,14712000,5,14712,Lead
14713000-2,14713000,5,14713,Zinc
14714000-9,14714000,5,14714,Tin
14715000-6,14715000,5,14715,Copper
14720000-4,14720000,4,1472,"Aluminium, nickel, scandium, titanium and vanadium"
14721000-1,14721000,5,14721,Aluminium
14721100-2,14721100,6,147211,Aluminium oxide
14722000-8,14722000,5,14722,Nickel
14723000-5,14723000,5,14723,Scandium
14724000-2,14724000,5,14724,Titanium
14725000-9,14725000,5,14725,Vanadium
14730000-7,14730000,4,1473,"Chromium, manganese, cobalt, yttrium and zirconium"
14731000-4,14731000,5,14731,Chromium
14732000-1,14732000,5,14732,Manganese
14733000-8,14733000,5,14733,Cobalt
14734000-5,14734000,5,14734,Yttrium
14735000-2,14735000,5,14735,Zirconium
14740000-0,14740000,4,1474,"Molybdenum, technetium, ruthenium and rhodium"
14741000-7,14741000,5,14741,Molybdenum
14742000-4,14742000,5,14742,Technetium
14743000-1,14743000,5,14743,Ruthenium
14744000-8,14744000,5,14744,Rhodium
14750000-3,14750000,4,1475,"Cadmium, lutetium, hafnium, tantalum and tungsten"
14751000-0,14751000,5,14751,Cadmium
14752000-7,14752000,5,14752,Lutetium
14753000-4,14753000,5,14753,Hafnium
14754000-1,14754000,5,14754,Tantalum
14755000-8,14755000,5,14755,Tungsten
14760000-6,14760000,4,1476,"Iridium, gallium, indium, thallium and barium"
14761000-3,14761000,5,14761,Iridium
14762000-0,14762000,5,14762,Gallium
14763000-7,14763000,5,14763,Indium
14764000-4,14764000,5,14764,Thallium
14765000-1,14765000,5,14765,Barium
14770000-9,14770000,4,1477,"Caesium, strontium, rubidium and calcium"
14771000-6,14771000,5,14771,Caesium
14772000-3,14772000,5,14772,Strontium
14773000-0,14773000,5,14773,Rubidium
14774000-7,14774000,5,14774,Calcium
14780000-2,14780000,4,1478,"Potassium, magnesium, sodium and lithium"
14781000-9,14781000,5,14781,Potassium
14782000-6,14782000,5,14782,Magnesium
14783000-3,14783000,5,14783,Sodium
14784000-0,14784000,5,14784,Lithium
14790000-5,14790000,4,1479,"Niobium, osmium, rhenium and palladium"
14791000-2,14791000,5,14791,Niobium
14792000-9,14792000,5,14792,Osmium
14793000-6,14793000,5,14793,Rhenium
14794000-3,14794000,5,14794,Palladium
14800000-9,14800000,3,148,Miscellaneous non-metallic mineral products
14810000-2,14810000,4,1481,Abrasive products
14811000-9,14811000,5,14811,"Millstones, grindstones and grinding wheels"
14811100-0,14811100,6,148111,Millstones
14811200-1,14811200,6,148112,Grindstones
14811300-2,14811300,6,148113,Grinding wheels
14812000-6,14812000,5,14812,Abrasive powder or grain
14813000-3,14813000,5,14813,Artificial corundum
14814000-0,14814000,5,14814,Artificial graphite
14820000-5,14820000,4,1482,Glass
14830000-8,14830000,4,1483,Fibreglass
14900000-0,14900000,3,149,Recovered secondary raw materials
14910000-3,14910000,4,1491,Recovered secondary metal raw materials
14920000-6,14920000,4,1492,Recovered secondary non-metal raw materials
14930000-9,14930000,4,1493,Ash and residues containing metals
15000000-8,15000000,2,15,"Food, beverages, tobacco and related products"
15100000-9,15100000,3,151,"Animal products, meat and meat products"
15110000-2,15110000,4,1511,Meat
15111000-9,15111000,5,15111,Bovine meat
15111100-0,15111100,6,151111,Beef
15111200-1,15111200,6,151112,Veal
15112000-6,15112000,5,15112,Poultry
15112100-7,15112100,6,151121,Fresh poultry
15112110-0,15112110,7,1511211,Geese
15112120-3,15112120,7,1511212,Turkeys
15112130-6,15112130,7,1511213,Chickens
15112140-9,15112140,7,1511214,Ducks
15112300-9,15112300,6,151123,Poultry livers
15112310-2,15112310,7,1511231,Foie gras
15113000-3,15113000,5,15113,Pork
15114000-0,15114000,5,15114,Offal
15115000-7,15115000,5,15115,Lamb and mutton
15115100-8,15115100,6,151151,Lamb
15115200-9,15115200,6,151152,Mutton
15117000-1,15117000,5,15117,Goat meat
15118000-8,15118000,5,15118,"Horse, ass, mule or hinny meat"
15118100-9,15118100,6,151181,Horsemeat
15118900-7,15118900,6,151189,"Ass, mule or hinny meat"
15119000-5,15119000,5,15119,Various meats
15119100-6,15119100,6,151191,Rabbit meat
15119200-7,15119200,6,151192,Hare meat
15119300-8,15119300,6,151193,Game
15119400-9,15119400,6,151194,Frogs' legs
15119500-0,15119500,6,151195,Pigeons
15119600-1,15119600,6,151196,Fish meat
15130000-8,15130000,4,1513,Meat products
15131000-5,15131000,5,15131,Meat preserves and preparations
15131100-6,15131100,6,151311,Sausage-meat products
15131110-9,15131110,7,1513111,Sausage meat
15131120-2,15131120,7,1513112,Sausage products
15131130-5,15131130,7,1513113,Sausages
15131134-3,15131134,8,15131134,Black pudding and other blood sausages
15131135-0,15131135,8,15131135,Poultry sausages
15131200-7,15131200,6,151312,"Dried, salted, smoked or seasoned meat"
15131210-0,15131210,7,1513121,Gammon
15131220-3,15131220,7,1513122,Bacon
15131230-6,15131230,7,1513123,Salami
15131300-8,15131300,6,151313,Liver preparations
15131310-1,15131310,7,1513131,P�t�
15131320-4,15131320,7,1513132,Preparations of goose or duck liver
15131400-9,15131400,6,151314,Pork products
15131410-2,15131410,7,1513141,Ham
15131420-5,15131420,7,1513142,Meatballs
15131490-6,15131490,7,1513149,Prepared pork dishes
15131500-0,15131500,6,151315,Poultry products
15131600-1,15131600,6,151316,Beef and veal products
15131610-4,15131610,7,1513161,Beef meatballs
15131620-7,15131620,7,1513162,Minced beef
15131640-3,15131640,7,1513164,Beefburgers
15131700-2,15131700,6,151317,Meat preparations
15200000-0,15200000,3,152,Prepared and preserved fish
15210000-3,15210000,4,1521,"Fish fillets, fish livers and roe"
15211000-0,15211000,5,15211,Fish fillets
15211100-1,15211100,6,152111,Fresh fish fillets
15212000-7,15212000,5,15212,Fish roe
15213000-4,15213000,5,15213,Fish livers
15220000-6,15220000,4,1522,"Frozen fish, fish fillets and other fish meat"
15221000-3,15221000,5,15221,Frozen fish
15229000-9,15229000,5,15229,Frozen fish products
15230000-9,15230000,4,1523,Dried or salted fish; fish in brine; smoked fish
15231000-6,15231000,5,15231,Dried fish
15232000-3,15232000,5,15232,Salted fish
15233000-0,15233000,5,15233,Fish in brine
15234000-7,15234000,5,15234,Smoked fish
15235000-4,15235000,5,15235,Preserved fish
15240000-2,15240000,4,1524,Canned or tinned fish and other prepared or preserved fish
15241000-9,15241000,5,15241,"Coated, canned or tinned fish"
15241100-0,15241100,6,152411,Canned salmon
15241200-1,15241200,6,152412,Prepared or preserved herring
15241300-2,15241300,6,152413,Sardines
15241400-3,15241400,6,152414,Canned tuna
15241500-4,15241500,6,152415,Mackerel
15241600-5,15241600,6,152416,Anchovies
15241700-6,15241700,6,152417,Fish fingers
15241800-7,15241800,6,152418,Coated fish preparations
15242000-6,15242000,5,15242,Prepared fish dishes
15243000-3,15243000,5,15243,Preparations of fish
15244000-0,15244000,5,15244,Caviar and fish eggs
15244100-1,15244100,6,152441,Caviar
15244200-2,15244200,6,152442,Fish eggs
15250000-5,15250000,4,1525,Seafood
15251000-2,15251000,5,15251,Frozen crustaceans
15252000-9,15252000,5,15252,Prepared or preserved crustaceans
15253000-6,15253000,5,15253,Shellfish products
15300000-1,15300000,3,153,"Fruit, vegetables and related products"
15310000-4,15310000,4,1531,Potatoes and potato products
15311000-1,15311000,5,15311,Frozen potatoes
15311100-2,15311100,6,153111,Chips or french fries
15311200-3,15311200,6,153112,"Diced, sliced and other frozen potatoes"
15312000-8,15312000,5,15312,Potato products
15312100-9,15312100,6,153121,Instant mashed potatoes
15312200-0,15312200,6,153122,Part-fried potato chips
15312300-1,15312300,6,153123,Potato crisps
15312310-4,15312310,7,1531231,Flavoured potato crisps
15312400-2,15312400,6,153124,Potato snacks
15312500-3,15312500,6,153125,Potato croquettes
15313000-5,15313000,5,15313,Processed potatoes
15320000-7,15320000,4,1532,Fruit and vegetable juices
15321000-4,15321000,5,15321,Fruit juices
15321100-5,15321100,6,153211,Orange juice
15321200-6,15321200,6,153212,Grapefruit juice
15321300-7,15321300,6,153213,Lemon juice
15321400-8,15321400,6,153214,Pineapple juice
15321500-9,15321500,6,153215,Grape juice
15321600-0,15321600,6,153216,Apple juice
15321700-1,15321700,6,153217,Mixtures of unconcentrated juices
15321800-2,15321800,6,153218,Concentrated juices
15322000-1,15322000,5,15322,Vegetable juices
15322100-2,15322100,6,153221,Tomato juice
15330000-0,15330000,4,1533,Processed fruit and vegetables
15331000-7,15331000,5,15331,Processed vegetables
15331100-8,15331100,6,153311,Fresh or frozen vegetables
15331110-1,15331110,7,1533111,Processed root vegetables
15331120-4,15331120,7,1533112,Processed tuber vegetables
